Outcome	drug	Outcome2
Very Weak (35%)	ethionamide	Very Weak (35%)
No-Effect	dipyrocetyl	No-Effect
Weak (50%)	oxyphenbutazone	Weak (50%)
Manual Inspection	trimethoprim	No-Effect
Low (25%)	bepotastine	Low (25%)
No-Effect	captopril	No-Effect
No-Effect	caroxazone	No-Effect
No-Effect	vonoprazan	No-Effect
No-Effect	cadralazine	No-Effect
No-Effect	omeprazole	No-Effect
Low (25%)	disopyramide	Low (25%)
Very Weak (35%)	halobetasol-propionate	Very Weak (35%)
No-Effect	oxacillin	No-Effect
Manual Inspection	cytarabine	No-Effect
No-Effect	ramifenazone	No-Effect
Low (25%)	folic-acid	Low (25%)
No-Effect	thalidomide	No-Effect
No-Effect	aceclidine	No-Effect
Low (25%)	telmesteine	Low (25%)
No-Effect	benzethonium	No-Effect
No-Effect	pipenzolate	No-Effect
No-Effect	protirelin	No-Effect
No-Effect	sulfaquinoxaline	No-Effect
No-Effect	dropropizine	No-Effect
No-Effect	medetomidine	No-Effect
No-Effect	pioglitazone	No-Effect
No-Effect	alfacalcidol	No-Effect
No-Effect	trichloroacetic-acid	No-Effect
Low (25%)	acarbose	Low (25%)
No-Effect	metoxibutropate	No-Effect
No-Effect	amrubicin	No-Effect
Weak (50%)	sotalol	Weak (50%)
No-Effect	histamine	No-Effect
No-Effect	fenbendazole	No-Effect
No-Effect	omeprazole-magnesium	No-Effect
No-Effect	DIPT	No-Effect
No-Effect	benzonatate	No-Effect
No-Effect	dimetridazole	No-Effect
No-Effect	propylene-glycol	No-Effect
Very Weak (35%)	L-cystine	Very Weak (35%)
No-Effect	promestriene	No-Effect
No-Effect	tetrahydrofolic-acid	No-Effect
No-Effect	secalciferol	No-Effect
No-Effect	ceforanide	No-Effect
No-Effect	7-keto-DHEA	No-Effect
No-Effect	dimetindene	No-Effect
No-Effect	enbucrilate	No-Effect
No-Effect	aprindine	No-Effect
No-Effect	valpromide	No-Effect
No-Effect	levomenol	No-Effect
No-Effect	curcumin	No-Effect
No-Effect	fosfestrol	No-Effect
No-Effect	mannitol-D	No-Effect
No-Effect	lapatinib	No-Effect
Very Weak (35%)	dabrafenib	Very Weak (35%)
No-Effect	levofloxacin	No-Effect
Manual Inspection	toloxatone	No-Effect
No-Effect	sobrepin	No-Effect
No-Effect	amifostine	No-Effect
No-Effect	flucloxacillin	No-Effect
No-Effect	almitrine	No-Effect
No-Effect	taurolidine	No-Effect
No-Effect	beclomethasone	No-Effect
No-Effect	methoxyflurane	No-Effect
No-Effect	SCMC-Lys	No-Effect
No-Effect	creatinol-phosphate	No-Effect
No-Effect	dipeptamin	No-Effect
No-Effect	isoflurane	No-Effect
No-Effect	isopropyl-palmitate	No-Effect
No-Effect	phytonadione	No-Effect
Low (25%)	perflubron	Low (25%)
No-Effect	dimercaptosuccinic-acid	No-Effect
Strong (80%)	prenylamine	Strong (80%)
Very Weak (35%)	metrizoic-acid	Very Weak (35%)
No-Effect	nicardipine	No-Effect
No-Effect	flopropione	No-Effect
Manual Inspection	siponimod	No-Effect
Weak (50%)	frovatriptan	Weak (50%)
No-Effect	baricitinib	No-Effect
Strong (80%)	ixazomib	Strong (80%)
No-Effect	cefixime	No-Effect
No-Effect	avibactam	No-Effect
No-Effect	prulifloxacin	No-Effect
Strong (80%)	amiodarone	Strong (80%)
No-Effect	perfluorodecalin	No-Effect
No-Effect	rifapentine	No-Effect
No-Effect	avatrombopag	No-Effect
No-Effect	propacetamol	No-Effect
No-Effect	phenacaine	No-Effect
No-Effect	gemifloxacin	No-Effect
Weak (50%)	ganciclovir	Weak (50%)
Very Weak (35%)	levothyroxine	Very Weak (35%)
Weak (50%)	marbofloxacin	Weak (50%)
No-Effect	doxylamine	No-Effect
Manual Inspection	letosteine	No-Effect
Very Weak (35%)	aminopentamide	Very Weak (35%)
Low (25%)	amcinonide	Low (25%)
No-Effect	ursodiol	No-Effect
Weak (50%)	eperisone	Weak (50%)
No-Effect	imidafenacin	No-Effect
No-Effect	fruquintinib	No-Effect
No-Effect	cefcapene-pivoxil	No-Effect
Very Weak (35%)	tiquizium	Very Weak (35%)
Weak (50%)	meclizine	Weak (50%)
Low (25%)	nebivolol	Low (25%)
Very Weak (35%)	cetylpyridinium	Very Weak (35%)
No-Effect	glafenine	No-Effect
No-Effect	psoralen	No-Effect
No-Effect	alendronate	No-Effect
Manual Inspection	diflorasone-diacetate	No-Effect
Very Weak (35%)	deserpidine	Very Weak (35%)
No-Effect	mebendazole	No-Effect
No-Effect	butylscopolamine-bromide	No-Effect
No-Effect	cefaclor	No-Effect
No-Effect	enoxacin	No-Effect
No-Effect	apixaban	No-Effect
No-Effect	pyritinol	No-Effect
No-Effect	aspartame	No-Effect
Manual Inspection	amorolfine	No-Effect
No-Effect	oxyphenonium	No-Effect
No-Effect	tienilic-acid	No-Effect
No-Effect	tianeptine	No-Effect
Low (25%)	dextrose	Low (25%)
No-Effect	dinoprost	No-Effect
No-Effect	rebamipide	No-Effect
No-Effect	mozavaptan	No-Effect
Manual Inspection	finafloxacin	No-Effect
No-Effect	levonorgestrel	No-Effect
No-Effect	hemin	No-Effect
Manual Inspection	pipamperone	No-Effect
No-Effect	caramiphen	No-Effect
Low (25%)	halothane	Low (25%)
No-Effect	ondansetron	No-Effect
No-Effect	dolutegravir	No-Effect
No-Effect	vinpocetine	No-Effect
No-Effect	ketoprofen	No-Effect
No-Effect	otilonium	No-Effect
No-Effect	phosphatidylcholine	No-Effect
Strong (80%)	tolonium	Strong (80%)
No-Effect	bucillamine	No-Effect
Manual Inspection	crisaborole	No-Effect
No-Effect	nabumetone	No-Effect
No-Effect	canagliflozin	No-Effect
No-Effect	rivastigmine	No-Effect
Low (25%)	danofloxacin	Low (25%)
No-Effect	binimetinib	No-Effect
No-Effect	nilvadipine	No-Effect
No-Effect	doxepin	No-Effect
No-Effect	tebipenem	No-Effect
No-Effect	anethole-trithione	No-Effect
No-Effect	sevoflurane	No-Effect
No-Effect	cleviprex	No-Effect
No-Effect	theobromine	No-Effect
No-Effect	crizotinib	No-Effect
No-Effect	bucladesine	No-Effect
No-Effect	bimatoprost	No-Effect
No-Effect	alizapride	No-Effect
Weak (50%)	troxerutin	Weak (50%)
No-Effect	buspirone	No-Effect
No-Effect	grapiprant	No-Effect
Low (25%)	linezolid	Low (25%)
Manual Inspection	selinexor	No-Effect
No-Effect	ornidazole	No-Effect
No-Effect	doxazosin	No-Effect
No-Effect	bosutinib	No-Effect
Manual Inspection	piperidolate	No-Effect
No-Effect	cilazapril	No-Effect
Very Weak (35%)	umeclidinium	Very Weak (35%)
No-Effect	leuprolide	No-Effect
No-Effect	carmustine	No-Effect
Low (25%)	tamsulosin	Low (25%)
No-Effect	pargyline	No-Effect
No-Effect	monosodium-alpha-luminol	No-Effect
No-Effect	zanamivir	No-Effect
No-Effect	naltrexone	No-Effect
No-Effect	metolazone	No-Effect
No-Effect	fleroxacin	No-Effect
No-Effect	dequalinium	No-Effect
No-Effect	eptifibatide	No-Effect
Very Weak (35%)	sodium-ascorbate	Very Weak (35%)
Very Weak (35%)	fludarabine	Very Weak (35%)
Strong (80%)	asenapine	Strong (80%)
No-Effect	chloramine-T	No-Effect
No-Effect	dexpanthenol	No-Effect
No-Effect	phenazone	No-Effect
Manual Inspection	pentostatin	No-Effect
No-Effect	mirtazapine	No-Effect
No-Effect	chlorothiazide	No-Effect
No-Effect	clevudine	No-Effect
No-Effect	sulfamethazine	No-Effect
No-Effect	ozagrel	No-Effect
No-Effect	ranitidine	No-Effect
No-Effect	flurbiprofen-(+/-)	No-Effect
No-Effect	ataluren	No-Effect
No-Effect	sulfameter	No-Effect
No-Effect	sulfadiazine	No-Effect
Low (25%)	dienogest	Low (25%)
No-Effect	liranaftate	No-Effect
No-Effect	suprofen	No-Effect
Low (25%)	tripelennamine	Low (25%)
No-Effect	tolnaftate	No-Effect
Weak (50%)	flubendazole	Weak (50%)
Manual Inspection	doxifluridine	No-Effect
No-Effect	furaltadone	No-Effect
No-Effect	molindone	No-Effect
No-Effect	thiamine	No-Effect
Manual Inspection	safinamide	No-Effect
No-Effect	levobunolol	No-Effect
No-Effect	fenspiride	No-Effect
No-Effect	meticrane	No-Effect
No-Effect	desloratadine	No-Effect
Low (25%)	fenbufen	Low (25%)
No-Effect	proxymetacaine	No-Effect
No-Effect	nonivamide	No-Effect
No-Effect	amfenac	No-Effect
No-Effect	alosetron	No-Effect
No-Effect	famciclovir	No-Effect
No-Effect	mebhydrolin	No-Effect
No-Effect	protriptyline	No-Effect
No-Effect	moxisylyte	No-Effect
No-Effect	enilconazole	No-Effect
No-Effect	edoxudine	No-Effect
No-Effect	menbutone	No-Effect
No-Effect	pizotifen	No-Effect
No-Effect	tinidazole	No-Effect
No-Effect	tolfenamic-acid	No-Effect
No-Effect	chloropyramine	No-Effect
No-Effect	sulfaphenazole	No-Effect
No-Effect	vildagliptin	No-Effect
No-Effect	sulfametopyrazine	No-Effect
No-Effect	levosimendan	No-Effect
No-Effect	sulphadimethoxine	No-Effect
No-Effect	sulfamethizole	No-Effect
Strong (80%)	meglutol	Strong (80%)
No-Effect	2-hydroxyethyl-salicylate	No-Effect
No-Effect	chloroxoquinoline	No-Effect
No-Effect	clorprenaline	No-Effect
Very Weak (35%)	cyclizine	Very Weak (35%)
No-Effect	bunazosin	No-Effect
No-Effect	rifamycin	No-Effect
No-Effect	nizatidine	No-Effect
No-Effect	levopropoxyphene	No-Effect
No-Effect	phenethicillin	No-Effect
Strong (80%)	mianserin	Strong (80%)
No-Effect	tolazamide	No-Effect
No-Effect	risedronate	No-Effect
Very Weak (35%)	quercetin	Very Weak (35%)
No-Effect	metaraminol	No-Effect
Weak (50%)	imipramine	Weak (50%)
No-Effect	aminocaproic-acid	No-Effect
No-Effect	cefathiamidine	No-Effect
No-Effect	pentolinium	No-Effect
No-Effect	amoxapine	No-Effect
No-Effect	cytisine	No-Effect
No-Effect	toceranib	No-Effect
No-Effect	capecitabine	No-Effect
No-Effect	nomifensine	No-Effect
Strong (80%)	chlorpromazine	Strong (80%)
No-Effect	betaxolol	No-Effect
No-Effect	pamidronate	No-Effect
Very Weak (35%)	betamethasone-phosphate	Very Weak (35%)
Weak (50%)	dimethisoquin	Weak (50%)
No-Effect	strontium-ranelate	No-Effect
Strong (80%)	mibefradil	Strong (80%)
No-Effect	liothyronine	No-Effect
No-Effect	saquinavir	No-Effect
Very Weak (35%)	cyclosporin-A	Very Weak (35%)
Strong (80%)	vandetanib	Strong (80%)
No-Effect	ripasudil	No-Effect
No-Effect	thiothixene	No-Effect
No-Effect	saxagliptin	No-Effect
Manual Inspection	acetazolamide	No-Effect
No-Effect	rifampin	No-Effect
Manual Inspection	milrinone	No-Effect
No-Effect	sildenafil	No-Effect
No-Effect	ertugliflozin	No-Effect
Strong (80%)	actinomycin-d	Strong (80%)
No-Effect	primidone	No-Effect
No-Effect	azithromycin	No-Effect
Manual Inspection	clonidine	No-Effect
No-Effect	betrixaban	No-Effect
No-Effect	itraconazole	No-Effect
No-Effect	ivermectin	No-Effect
No-Effect	telotristat	No-Effect
No-Effect	temocapril	No-Effect
No-Effect	actarit	No-Effect
No-Effect	etofylline	No-Effect
Manual Inspection	nikethamide	No-Effect
No-Effect	ivabradine	No-Effect
No-Effect	sulbactam	No-Effect
No-Effect	clofibric-acid	No-Effect
Very Weak (35%)	omarigliptin	Very Weak (35%)
Very Weak (35%)	iopromide	Very Weak (35%)
Very Weak (35%)	dinitolmide	Very Weak (35%)
No-Effect	betamipron	No-Effect
No-Effect	droxidopa	No-Effect
No-Effect	valrubicin	No-Effect
Strong (80%)	cobimetinib	Strong (80%)
No-Effect	diatrizoic-acid	No-Effect
No-Effect	dronedarone	No-Effect
No-Effect	diethyltoluamide	No-Effect
Manual Inspection	omadacycline	No-Effect
No-Effect	menadione	No-Effect
Strong (80%)	digitoxin	Strong (80%)
No-Effect	darifenacin	No-Effect
No-Effect	telithromycin	No-Effect
Low (25%)	mivacurium	Low (25%)
No-Effect	malotilate	No-Effect
No-Effect	pinacidil	No-Effect
No-Effect	molsidomine	No-Effect
Very Weak (35%)	cefozopran	Very Weak (35%)
No-Effect	halofantrine	No-Effect
Manual Inspection	lopinavir	No-Effect
Very Weak (35%)	levamisole	Very Weak (35%)
No-Effect	tiabendazole	No-Effect
No-Effect	goserelin-acetate	No-Effect
No-Effect	adefovir-dipivoxil	No-Effect
No-Effect	tulobuterol	No-Effect
Low (25%)	prilocaine	Low (25%)
No-Effect	ketorolac	No-Effect
Very Weak (35%)	sparteine-sulfate	Very Weak (35%)
Weak (50%)	toremifene	Weak (50%)
No-Effect	guaifenesin	No-Effect
Very Weak (35%)	tipiracil	Very Weak (35%)
No-Effect	protionamide	No-Effect
Manual Inspection	cefoperazone	No-Effect
No-Effect	paroxypropione	No-Effect
Very Weak (35%)	benzocaine	Very Weak (35%)
No-Effect	sulfapyridine	No-Effect
No-Effect	aztreonam	No-Effect
Very Weak (35%)	selegiline	Very Weak (35%)
Weak (50%)	dantron	Weak (50%)
Manual Inspection	nitrofurazone	No-Effect
Weak (50%)	oxybenzone	Weak (50%)
Very Weak (35%)	estrone	Very Weak (35%)
Very Weak (35%)	sulfacarbamide	Very Weak (35%)
Weak (50%)	cinchophen	Weak (50%)
No-Effect	tioconazole	No-Effect
Manual Inspection	anidulafungin	No-Effect
No-Effect	phenazopyridine	No-Effect
Low (25%)	pefloxacin	Low (25%)
Very Weak (35%)	cromoglicic-acid	Very Weak (35%)
Very Weak (35%)	pidotimod	Very Weak (35%)
No-Effect	berberine	No-Effect
No-Effect	caspofungin	No-Effect
No-Effect	desoximetasone	No-Effect
Low (25%)	meclofenoxate	Low (25%)
Cyto	fidaxomicin	Cyto
No-Effect	sacubitril	No-Effect
Low (25%)	glycopyrrolate	Low (25%)
No-Effect	iguratimod	No-Effect
No-Effect	zimelidine	No-Effect
No-Effect	cortisone-acetate	No-Effect
No-Effect	colistin	No-Effect
Strong (80%)	halofuginone	Strong (80%)
No-Effect	cisapride	No-Effect
Manual Inspection	finasteride	No-Effect
No-Effect	urapidil	No-Effect
No-Effect	miconazole	No-Effect
No-Effect	alprostadil	No-Effect
No-Effect	micafungin	No-Effect
Very Weak (35%)	atracurium	Very Weak (35%)
No-Effect	loratadine	No-Effect
No-Effect	oseltamivir-phosphate	No-Effect
No-Effect	lonidamine	No-Effect
No-Effect	nilutamide	No-Effect
No-Effect	cabergoline	No-Effect
No-Effect	colforsin-daproate	No-Effect
No-Effect	cisatracurium	No-Effect
No-Effect	pranlukast	No-Effect
No-Effect	argatroban	No-Effect
No-Effect	cidofovir	No-Effect
No-Effect	nifenazone	No-Effect
Manual Inspection	penciclovir	No-Effect
No-Effect	nalidixic-acid	No-Effect
No-Effect	loteprednol	No-Effect
No-Effect	zidovudine	No-Effect
No-Effect	buflomedil	No-Effect
No-Effect	acefylline	No-Effect
No-Effect	glasdegib	No-Effect
Weak (50%)	hexylresorcinol	Weak (50%)
No-Effect	phenyl-salicylate	No-Effect
No-Effect	butenafine	No-Effect
No-Effect	cinnarazine	No-Effect
Very Weak (35%)	mefloquine	Very Weak (35%)
No-Effect	bucetin	No-Effect
No-Effect	pirfenidone	No-Effect
No-Effect	carglumic-acid	No-Effect
No-Effect	dorzolamide	No-Effect
No-Effect	chlorzoxazone	No-Effect
No-Effect	trapidil	No-Effect
No-Effect	adrafinil	No-Effect
No-Effect	scopine	No-Effect
No-Effect	levodropropizine	No-Effect
No-Effect	Proxyphylline	No-Effect
No-Effect	adrenalone	No-Effect
Weak (50%)	dihydroartemisinin	Weak (50%)
No-Effect	pirenzepine	No-Effect
No-Effect	detomidine	No-Effect
No-Effect	xylazine	No-Effect
No-Effect	chromocarb	No-Effect
No-Effect	fenoprofen	No-Effect
No-Effect	glucosamine	No-Effect
No-Effect	etofenamate	No-Effect
No-Effect	oxantel	No-Effect
Manual Inspection	deracoxib	No-Effect
Manual Inspection	sulfaguanidine	No-Effect
No-Effect	parecoxib	No-Effect
No-Effect	chlormadinone-acetate	No-Effect
No-Effect	felbinac	No-Effect
No-Effect	pantothenic-acid	No-Effect
No-Effect	sodium-gluconate	No-Effect
Manual Inspection	racecadotril	No-Effect
No-Effect	mitiglinide	No-Effect
No-Effect	methazolamide	No-Effect
No-Effect	acexamic-acid	No-Effect
No-Effect	bronopol	No-Effect
Manual Inspection	carbachol	No-Effect
No-Effect	clotrimazole	No-Effect
No-Effect	naphazoline	No-Effect
No-Effect	nitromide	No-Effect
Weak (50%)	ulipristal	Weak (50%)
No-Effect	roxithromycin	No-Effect
Low (25%)	ticagrelor	Low (25%)
Low (25%)	difluprednate	Low (25%)
Manual Inspection	closantel	No-Effect
No-Effect	dicloxacillin	No-Effect
No-Effect	nelarabine	No-Effect
No-Effect	ioxilan	No-Effect
Low (25%)	tofisopam	Low (25%)
No-Effect	spectinomycin	No-Effect
Very Weak (35%)	tubocurarine	Very Weak (35%)
No-Effect	abamectin	No-Effect
Low (25%)	aliskiren-hemifumarate	Low (25%)
No-Effect	procaterol	No-Effect
No-Effect	trolox	No-Effect
No-Effect	evans-blue	No-Effect
No-Effect	rifaximin	No-Effect
Manual Inspection	desmopressin-acetate	No-Effect
No-Effect	ambenonium	No-Effect
No-Effect	nicorandil	No-Effect
No-Effect	amiloride	No-Effect
No-Effect	aprepitant	No-Effect
No-Effect	clarithromycin	No-Effect
No-Effect	ixabepilone	No-Effect
No-Effect	darunavir	No-Effect
No-Effect	atazanavir	No-Effect
No-Effect	candesartan-cilexetil	No-Effect
Strong (80%)	monensin	Strong (80%)
No-Effect	rifabutin	No-Effect
No-Effect	erythromycin	No-Effect
No-Effect	olmesartan-medoxomil	No-Effect
Manual Inspection	amprenavir	No-Effect
No-Effect	dirithromycin	No-Effect
No-Effect	erythritol	No-Effect
No-Effect	salicylamide	No-Effect
No-Effect	gallamine-triethiodide	No-Effect
Low (25%)	maprotiline	Low (25%)
No-Effect	quinethazone	No-Effect
No-Effect	josamycin	No-Effect
No-Effect	pimecrolimus	No-Effect
No-Effect	cefditoren-pivoxil	No-Effect
Strong (80%)	salinomycin	Strong (80%)
No-Effect	tolcapone	No-Effect
No-Effect	propantheline	No-Effect
Very Weak (35%)	cyclovalone	Very Weak (35%)
No-Effect	isopropamide-iodide	No-Effect
Manual Inspection	iopodic-acid	No-Effect
No-Effect	teicoplanin	No-Effect
Manual Inspection	ergotamine	No-Effect
No-Effect	temsirolimus	No-Effect
No-Effect	zoledronic-acid	No-Effect
Low (25%)	bethanechol	Low (25%)
Manual Inspection	cysteamine	No-Effect
No-Effect	bemegride	No-Effect
No-Effect	nicotinyl-alcohol-tartrate	No-Effect
No-Effect	piperazine	No-Effect
No-Effect	penicillamine-(D)	No-Effect
No-Effect	phenformin	No-Effect
No-Effect	paromomycin	No-Effect
No-Effect	fomepizole	No-Effect
No-Effect	epinastine	No-Effect
No-Effect	biotin	No-Effect
No-Effect	guaiacol	No-Effect
No-Effect	triacetin	No-Effect
No-Effect	ethenzamide	No-Effect
Strong (80%)	quinidine	Strong (80%)
No-Effect	tuaminoheptane	No-Effect
No-Effect	vilazodone	No-Effect
No-Effect	tartaric-acid	No-Effect
No-Effect	urea	No-Effect
No-Effect	mandelic-acid	No-Effect
No-Effect	chloroxylenol	No-Effect
Manual Inspection	resorcinol	No-Effect
No-Effect	tranylcypromine	No-Effect
No-Effect	trometamol	No-Effect
No-Effect	deferiprone	No-Effect
No-Effect	methacholine	No-Effect
No-Effect	ftorafur	No-Effect
No-Effect	timonacic	No-Effect
No-Effect	flucytosine	No-Effect
No-Effect	edrophonium	No-Effect
No-Effect	pheniramine	No-Effect
Manual Inspection	regadenoson	Weak (50%)
Low (25%)	methocarbamol	Low (25%)
Very Weak (35%)	betahistine	Very Weak (35%)
No-Effect	dicoumarol	No-Effect
Strong (80%)	mycophenolate-mofetil	Strong (80%)
No-Effect	tetrahydrozoline	No-Effect
Strong (80%)	chlorcyclizine	Strong (80%)
Low (25%)	moroxydine	Low (25%)
No-Effect	clopidol	No-Effect
No-Effect	didanosine	No-Effect
No-Effect	apremilast	No-Effect
No-Effect	trospium	No-Effect
No-Effect	amidopyrine	No-Effect
No-Effect	talazoparib	No-Effect
No-Effect	diethylcarbamazine	No-Effect
Strong (80%)	chlorquinaldol	Strong (80%)
Low (25%)	ronidazole	Low (25%)
No-Effect	escitalopram	No-Effect
No-Effect	brexpiprazole	No-Effect
No-Effect	mometasone-furoate	No-Effect
No-Effect	aminohydroxybutyric-acid	No-Effect
No-Effect	sorbic-acid	No-Effect
No-Effect	tiracizine	No-Effect
No-Effect	pyrethrins	No-Effect
Strong (80%)	digoxin	Strong (80%)
No-Effect	aniracetam	No-Effect
No-Effect	glipizide	No-Effect
No-Effect	mephenesin	No-Effect
No-Effect	quinine	No-Effect
No-Effect	tropicamide	No-Effect
No-Effect	hemomex-s	No-Effect
No-Effect	piperonyl-butoxide	No-Effect
No-Effect	lubiprostone	No-Effect
No-Effect	octinoxate	No-Effect
No-Effect	silodosin	No-Effect
No-Effect	dihydroergocristine	No-Effect
Very Weak (35%)	levosulpiride	Very Weak (35%)
No-Effect	tetrabenazine	No-Effect
No-Effect	pindolol	No-Effect
No-Effect	fluorometholone-acetate	No-Effect
No-Effect	AGP-103	No-Effect
No-Effect	chlorotrianisene	No-Effect
No-Effect	cephapirin	No-Effect
No-Effect	5-hydroxytryptophan	No-Effect
No-Effect	betamethasone-valerate	No-Effect
Low (25%)	cloperastine	Low (25%)
Manual Inspection	tribenoside	No-Effect
No-Effect	ibuprofen-lysine	No-Effect
Low (25%)	dapoxetine	Low (25%)
No-Effect	leflunomide	No-Effect
No-Effect	cefuroxime-axetil	No-Effect
No-Effect	clidinium	No-Effect
No-Effect	benzalkonium	No-Effect
No-Effect	moxonidine	No-Effect
No-Effect	diphenidol	No-Effect
No-Effect	chiniofon	No-Effect
Very Weak (35%)	bentiromide	Very Weak (35%)
No-Effect	orphenadrine	No-Effect
No-Effect	foscarnet	No-Effect
No-Effect	cypermethrin	No-Effect
No-Effect	bendroflumethiazide	No-Effect
No-Effect	nitarsone	No-Effect
No-Effect	methylprednisolone-aceponate	No-Effect
No-Effect	fipronil	No-Effect
Cyto	ixazomib-citrate	Cyto
No-Effect	eprazinone	No-Effect
Very Weak (35%)	silymarin	Very Weak (35%)
No-Effect	valaciclovir	No-Effect
No-Effect	casanthranol-variant	No-Effect
No-Effect	difloxacin	No-Effect
Very Weak (35%)	oxybuprocaine	Very Weak (35%)
No-Effect	physostigmine	No-Effect
No-Effect	sclareolide	No-Effect
No-Effect	benzthiazide	No-Effect
Manual Inspection	tiotropium	No-Effect
Low (25%)	imidapril	Low (25%)
No-Effect	quinapril	No-Effect
Manual Inspection	pridinol	No-Effect
Weak (50%)	azilsartan-medoxomil	Weak (50%)
Low (25%)	cefoselis	Low (25%)
Weak (50%)	chlorproguanil	Weak (50%)
Very Weak (35%)	elbasvir	Very Weak (35%)
Low (25%)	nonoxynol-9	Low (25%)
No-Effect	loperamide	No-Effect
No-Effect	ribociclib	No-Effect
No-Effect	methoxyphenamine	No-Effect
No-Effect	acetylcysteine	No-Effect
No-Effect	drospirenone	No-Effect
No-Effect	amoxicillin	No-Effect
No-Effect	oxymetazoline	No-Effect
No-Effect	cefsulodin	No-Effect
No-Effect	hexoprenaline	No-Effect
No-Effect	cephalexin	No-Effect
No-Effect	chenodeoxycholic-acid	No-Effect
No-Effect	amisulpride	No-Effect
No-Effect	bevantolol	No-Effect
No-Effect	lumefantrine	No-Effect
Weak (50%)	norelgestromin	Weak (50%)
Manual Inspection	phthalylsulfathiazole	Weak (50%)
No-Effect	succinic-acid	No-Effect
No-Effect	cloprostenol-(+/-)	No-Effect
No-Effect	acetohydroxamic-acid	No-Effect
No-Effect	rose-bengal-lactone	No-Effect
No-Effect	alanine	No-Effect
No-Effect	cilastatin	No-Effect
No-Effect	methionine	No-Effect
No-Effect	thiamine-pyrophosphate	No-Effect
No-Effect	ricinoleic-acid	No-Effect
No-Effect	rufinamide	No-Effect
Strong (80%)	tafenoquine	Strong (80%)
No-Effect	lumiracoxib	No-Effect
No-Effect	trichlormethiazide	No-Effect
No-Effect	4-aminohippuric-acid	No-Effect
Cyto	adapalene	Cyto
No-Effect	naphthoquine-phosphate	No-Effect
No-Effect	meropenem	No-Effect
No-Effect	norethindrone	No-Effect
No-Effect	raclopride	No-Effect
Very Weak (35%)	raloxifene	Very Weak (35%)
No-Effect	vilanterol	No-Effect
No-Effect	anisindione	No-Effect
No-Effect	tobramycin	No-Effect
No-Effect	alclometasone-dipropionate	No-Effect
Manual Inspection	diftalone	No-Effect
No-Effect	flosequinan	No-Effect
No-Effect	alpidem	No-Effect
Low (25%)	istradefylline	Low (25%)
No-Effect	proguanil	No-Effect
Strong (80%)	lasofoxifene	Strong (80%)
No-Effect	sennoside-A	No-Effect
Low (25%)	isotretinoin	Low (25%)
No-Effect	spizofurone	No-Effect
No-Effect	clopidogrel	No-Effect
No-Effect	cyromazine	No-Effect
No-Effect	aklomide	No-Effect
No-Effect	bendazac	No-Effect
Cyto	dactinomycin	Cyto
Manual Inspection	amezinium	No-Effect
Very Weak (35%)	cefprozil	Very Weak (35%)
Manual Inspection	palmitoylethanolamide	No-Effect
No-Effect	nifedipine	No-Effect
No-Effect	nimodipine	No-Effect
Strong (80%)	forodesine	No-Effect
Manual Inspection	capsaicin	No-Effect
No-Effect	carbetapentane	No-Effect
No-Effect	atenolol-(+/-)	No-Effect
No-Effect	dilazep	No-Effect
No-Effect	vidarabine	No-Effect
Low (25%)	clofoctol	Low (25%)
No-Effect	tranilast	No-Effect
Low (25%)	sulfacetamide	Low (25%)
Strong (80%)	thioridazine	Strong (80%)
Very Weak (35%)	norgestrel	Very Weak (35%)
Strong (80%)	idarubicin	Strong (80%)
Low (25%)	falecalcitriol	Low (25%)
No-Effect	ivosidenib	No-Effect
No-Effect	ziprasidone	No-Effect
No-Effect	zonisamide	No-Effect
No-Effect	prazosin	No-Effect
No-Effect	lymecycline	No-Effect
Strong (80%)	plicamycin	Strong (80%)
Manual Inspection	lomitapide	No-Effect
No-Effect	bilastine	No-Effect
No-Effect	aclidinium	No-Effect
No-Effect	lanoconazole	No-Effect
Low (25%)	gadobutrol	Low (25%)
No-Effect	phenylbutazone	No-Effect
No-Effect	metrizamide	No-Effect
No-Effect	triptorelin	No-Effect
No-Effect	ardeparin	No-Effect
No-Effect	fostamatinib	No-Effect
No-Effect	beclomethasone-dipropionate	No-Effect
No-Effect	conivaptan	No-Effect
No-Effect	gliquidone	No-Effect
No-Effect	rimonabant	No-Effect
Low (25%)	gadodiamide	Low (25%)
No-Effect	cinepazide	No-Effect
Manual Inspection	macitentan	No-Effect
No-Effect	grazoprevir	No-Effect
No-Effect	antazoline	No-Effect
Low (25%)	mifepristone	Low (25%)
No-Effect	vorinostat	No-Effect
No-Effect	sulfafurazole	No-Effect
No-Effect	etodolac	No-Effect
No-Effect	ribavirin	No-Effect
No-Effect	eplerenone	No-Effect
No-Effect	dutasteride	No-Effect
Very Weak (35%)	fusidic-acid	Very Weak (35%)
Cyto	aclarubicin	Cyto
Strong (80%)	clemastine	Strong (80%)
No-Effect	tropisetron	No-Effect
No-Effect	nicergoline	No-Effect
Manual Inspection	formoterol	No-Effect
No-Effect	proglumide	No-Effect
No-Effect	inositol-hexanicotinate	No-Effect
No-Effect	meloxicam	No-Effect
No-Effect	diltiazem	No-Effect
No-Effect	lansoprazole	No-Effect
Low (25%)	metergoline	Low (25%)
No-Effect	talniflumate	No-Effect
No-Effect	sonidegib	No-Effect
Weak (50%)	masitinib	Weak (50%)
No-Effect	isocarboxazid	No-Effect
No-Effect	granisetron	No-Effect
No-Effect	enalaprilat	No-Effect
